,0
0,107.08556
1,107.25156
2,107.443855
3,107.62472
4,107.77467
5,107.88896
6,107.896
7,107.960175
8,107.98072
9,107.961945
10,107.933136
11,107.879814
12,107.831085
13,107.77952
14,107.81619
15,107.82176
16,107.85216
17,107.88241
18,107.96238
19,108.105865
20,108.19686
21,108.2901
22,108.396935
23,108.49714
24,108.4733
25,108.453476
26,108.4327
27,108.35343
28,108.35504
29,108.34446
30,108.359085
31,108.42702
32,108.47649
33,108.531555
34,108.58576
35,108.66557
36,108.789894
37,108.88512
38,109.06051
39,109.229034
40,109.37485
41,109.478165
42,109.57715
43,109.58906
44,109.51458
45,109.444695
46,109.2654
47,109.06121
48,108.86253
49,108.66886
50,108.28294
51,107.810684
52,107.51535
53,107.11303
54,106.61993
55,106.17963
56,105.91591
57,105.70876
58,105.61895
59,105.71282
60,105.81956
61,105.94747
62,106.07482
63,106.25135
64,106.50892
65,106.856804
66,107.18416
67,107.50391
68,107.728035
69,107.973816
70,108.20932
71,108.42015
72,108.56885
73,108.75401
74,108.99687
75,109.2661
76,109.474976
77,109.636696
78,109.79133
79,109.91057
80,109.94348
81,109.966805
82,109.867775
83,109.70251
84,109.42441
85,109.35307
86,109.135994
87,108.89218
88,108.68868
89,108.45649
90,108.28235
91,108.200584
92,108.15965
93,108.017624
94,107.94565
95,107.96098
96,107.95856
97,108.01731
98,108.09578
99,108.21027
100,108.3923
101,108.56149
102,108.59866
103,108.45259
104,108.293205
105,108.050606
106,107.81951
107,107.5936
108,107.31648
109,107.128075
110,107.04437
111,107.172745
112,107.32037
113,107.68556
114,108.09062
115,108.53472
116,109.014565
117,109.55462
118,110.03238
119,110.48086
120,110.854
121,111.245155
122,111.56406
123,111.837944
124,112.11735
125,112.35077
126,112.59303
127,112.802086
128,113.00332
129,113.16562
130,113.30231
131,113.40668
132,113.58632
133,113.78161
134,114.00175
135,114.2253
136,114.42344
137,114.56635
138,114.69037
139,114.82846
140,114.90766
141,114.98484
142,114.998535
143,115.00788
144,114.92825
145,114.874725
146,114.78325
147,114.67958
148,114.504845
149,114.39991
150,114.27914
151,114.20075
152,114.11328
153,114.089676
154,113.98011
155,113.92989
156,113.94409
157,114.02367
158,114.09575
159,114.1116
160,114.2214
161,114.324814
162,114.41776
163,114.524796
164,114.5982
165,114.709946
166,114.797905
167,114.88746
168,115.00632
169,115.16094
170,115.28745
171,115.3275
172,115.34521
173,115.366135
174,115.66857
175,116.07259
176,116.47213
177,116.89505
178,117.24988
179,117.59946
180,117.966606
181,118.26689
182,118.584595
183,118.89277
184,119.18583
185,119.53269
186,119.950386
187,120.2707
188,120.57076
189,120.84794
190,121.11197
191,121.36761
192,121.64314
193,121.93304
194,122.27715
195,122.6354
196,123.02875
197,123.40439
198,123.715996
199,123.91751
200,124.07193
201,124.13858
202,124.34228
203,124.42435
204,124.64701
205,124.7578
206,124.726364
207,124.72917
208,124.72126
209,124.748085
210,124.70092
211,124.744896
212,124.801125
213,124.80442
214,124.93138
215,125.046684
216,125.19457
217,125.379456
218,125.616264
219,125.7265
220,125.76275
221,125.798325
222,125.904564
223,125.721214
224,125.55425
225,125.58225
226,125.44177
227,125.45686
228,125.417305
229,125.26007
230,125.2202
231,125.19378
232,125.2165
233,125.03947
234,125.03241
235,124.907364
236,124.709404
237,124.56589
238,124.55841
239,124.60779
240,124.27678
241,123.896965
242,123.60532
243,123.46065
244,123.25522
245,122.97416
246,122.470634
247,121.989136
248,121.390015
249,120.95204
250,120.55814
251,119.984955
252,119.25328
253,118.579445
254,117.80879
255,117.142456
256,116.4792
257,116.021164
258,115.53317
259,115.06913
260,114.80619
261,114.34348
262,113.9004
263,113.32544
264,112.823586
265,112.30908
266,111.83467
267,111.43224
268,110.90906
269,110.39174
270,109.955086
271,109.398834
272,108.77634
273,108.01919
274,107.184814
275,106.64194
276,106.07072
277,105.55194
278,105.1156
279,104.72474
280,103.9514
281,103.39129
282,102.815056
283,102.34677
284,101.980156
285,101.66913
286,101.36334
287,101.0352
288,100.82233
289,100.68499
290,100.605576
291,100.58462
292,100.49305
293,100.439445
294,100.35758
295,100.42371
296,100.45508
297,100.45847
298,100.76063
299,101.09861
300,101.46532
301,101.97352
302,102.55918
303,103.14274
304,103.62357
305,104.06715
306,104.4451
307,104.82478
308,105.144455
309,105.44921
310,105.710075
311,105.957054
312,106.206245
313,106.40397
314,106.63534
315,106.87685
316,107.10373
317,107.33094
318,107.49538
319,107.69714
320,107.900764
321,108.081276
322,108.22281
323,108.29807
324,108.37315
325,108.59188
326,108.84054
327,109.10615
328,109.42071
329,109.78671
330,110.18817
331,110.53316
332,110.910355
333,111.445076
334,111.82961
335,112.14826
336,112.39201
337,112.65473
338,112.88796
339,113.128815
340,113.377464
341,113.67556
342,113.98118
343,114.27556
344,114.58633
345,114.9546
346,115.27633
347,115.61206
348,115.877594
349,116.12664
350,116.36155
351,116.57345
352,116.86574
353,117.140594
354,117.414474
355,117.74423
356,118.03407
357,118.26025
358,118.4504
359,118.63232
360,118.69207
361,119.007256
362,119.2202
363,119.499725
364,119.667595
365,119.69561
366,119.736595
367,119.704
368,119.58102
369,119.17435
370,118.8925
371,118.64326
372,118.36659
373,118.07642
374,117.650826
375,117.35416
376,116.95238
377,116.5058
378,116.06885
379,115.63026
380,115.19092
381,114.79876
382,114.34088
383,113.87354
384,113.59742
385,113.396
386,113.28744
387,113.33007
388,113.448326
389,113.64409
390,113.835144
391,114.03954
392,114.209335
393,114.41109
394,114.71934
395,114.98612
396,115.28977
397,115.5556
398,115.80464
399,115.958305
400,116.21631
401,116.433975
402,116.59112
403,116.834465
404,117.07503
405,117.34143
406,117.5817
407,117.70007
408,117.85369
409,118.03379
410,118.15244
411,118.30639
412,118.48864
413,118.63301
414,118.7418
415,118.9042
416,118.96496
417,119.15131
418,119.34427
419,119.51862
420,119.64352
421,119.78486
422,119.960335
423,120.09268
424,120.32954
425,120.41538
426,120.40558
427,120.13412
428,119.999855
429,119.88485
430,119.871475
431,119.776764
432,119.68891
433,119.822945
434,119.75865
435,119.710556
436,119.78766
437,119.93933
438,120.07568
439,120.27268
440,120.450516
441,120.37556
442,120.444
443,120.41876
444,120.436905
445,120.53017
446,120.59549
447,120.58435
448,120.67517
449,120.84604
450,120.993256
451,121.16228
452,121.38496
453,121.76173
454,122.07883
455,122.28029
456,122.52015
457,122.75431
458,123.01984
459,123.21101
460,123.315704
461,123.447525
462,123.530785
463,123.69225
464,123.792885
465,123.865074
466,124.06319
467,124.23605
468,124.2574
469,124.35124
470,124.57736
471,124.75911
472,124.86831
473,125.050606
474,125.28165
475,125.6374
476,125.93476
477,126.208855
478,126.44579
479,126.69387
480,126.94593
481,127.275475
482,127.54618
483,127.88397
484,128.18968
485,128.54848
486,128.92665
487,129.12396
488,129.3398
489,129.6682
490,130.11198
491,130.52766
492,130.90126
493,131.25525
494,131.63638
495,131.99277
496,132.36922
497,132.69824
498,133.06566
499,133.3434
500,133.6878
501,134.01604
502,134.29163
503,134.4756
504,134.63379
505,134.77594
506,135.0149
507,135.15198
508,135.37917
509,135.5485
510,135.63568
511,135.62094
512,135.68846
513,135.82098
514,136.04076
515,136.12086
516,136.26225
517,136.43552
518,136.59828
519,136.83534
520,137.1446
521,137.4162
522,137.65334
523,137.8863
524,138.08647
525,138.38507
526,138.63512
527,139.00233
528,139.30031
529,139.62212
530,139.95837
531,140.41438
532,140.71988
533,141.08438
534,141.3684
535,141.75507
536,142.22614
537,142.63167
538,143.15974
539,143.49695
540,143.81316
541,144.20209
542,144.60915
543,144.90758
544,145.22606
545,145.54288
546,145.80025
547,145.82838
548,146.12634
549,146.4758
550,146.73654
551,146.65433
552,146.67241
553,146.91814
554,147.11894
555,147.37256
556,147.45856
557,147.61613
558,147.70145
559,147.96835
560,148.09763
561,148.24123
562,148.23647
563,148.38487
564,148.40445
565,148.2871
566,147.89781
567,147.42319
568,147.15608
569,146.42291
570,145.88736
571,145.95593
572,145.59334
573,145.65294
574,145.37097
575,145.10715
576,144.36012
