,0
0,139.12268
1,140.57147
2,142.03238
3,143.28908
4,144.30948
5,145.46124
6,146.64645
7,147.88986
8,149.7068
9,151.84344
10,154.0082
11,155.47533
12,156.04524
13,156.08826
14,155.8781
15,155.77473
16,155.9355
17,155.8904
18,156.04381
19,156.57722
20,157.29771
21,158.35005
22,159.97812
23,162.23601
24,165.24908
25,168.91428
26,172.33926
27,175.13383
28,177.95071
29,181.05765
30,184.95738
31,190.16827
32,197.42891
33,205.10046
34,212.27261
35,219.32994
36,226.79616
37,234.23071
38,240.73434
39,246.32724
40,251.57114
41,256.02744
42,260.40375
43,265.07544
44,270.11017
45,274.66568
46,279.0879
47,284.0658
48,289.89694
49,295.9666
50,301.43433
51,306.67093
52,310.72876
53,313.28763
54,314.06763
55,314.8463
