,0
0,161.1812
1,161.74045
2,162.25131
3,162.73965
4,163.22888
5,163.65855
6,164.05081
7,164.43044
8,164.83759
9,165.16
10,165.36522
11,165.32555
12,165.30766
13,165.31425
14,165.37271
15,165.49455
16,165.6819
17,165.79771
18,165.83658
19,165.8736
20,165.92725
21,165.97794
22,165.92369
23,165.93661
24,166.16162
25,166.51196
26,166.95627
27,167.43906
28,168.00812
29,168.59332
30,169.10536
31,169.54102
32,169.90309
33,170.26485
34,170.62958
35,171.01431
36,171.55809
37,172.22954
38,173.0274
39,173.9198
40,174.96347
41,176.06693
42,177.21333
43,178.27919
44,179.30042
45,180.29193
46,181.07423
47,181.68504
48,182.19397
49,182.64453
50,182.88359
51,182.75304
52,182.17201
53,181.30103
54,180.19458
55,178.91104
56,177.37808
57,175.69943
58,173.80774
59,171.95235
60,170.21983
61,168.60435
62,167.28996
63,166.30327
64,165.59218
65,165.10744
66,164.82455
67,164.6874
68,164.78772
69,165.19595
70,165.74818
71,166.46156
72,167.3073
73,168.27817
74,169.32562
75,170.43794
76,171.46263
77,172.25568
78,172.71875
79,172.89798
80,172.94312
81,173.00206
82,173.14456
83,173.35736
84,173.6733
85,174.02829
86,174.4441
87,174.90842
88,175.40982
89,175.86382
90,176.24323
91,176.67726
92,177.10498
93,177.56268
94,178.14471
95,178.78247
96,179.42696
97,180.06367
98,180.78036
99,181.59886
100,182.56595
101,183.67667
102,184.98285
103,186.43344
104,187.93565
105,189.48906
106,191.00365
107,192.50243
108,194.04033
109,195.67537
110,197.45506
111,199.3964
112,201.46278
113,203.60027
114,205.7714
115,207.91049
116,209.94905
117,211.79182
118,212.89745
119,213.60312
120,213.50139
121,212.74266
122,211.68527
123,210.31381
124,209.02454
125,208.08089
126,207.31844
127,206.9251
128,206.94318
129,207.33604
130,208.07434
131,209.05695
132,210.2251
133,211.6375
134,213.36314
135,215.41508
136,217.636
137,220.10782
138,222.72334
139,225.1909
140,227.59283
141,230.6415
142,234.17305
143,238.08382
144,242.42862
145,246.78197
146,250.65034
147,253.854
148,256.34988
149,258.59552
150,260.5462
151,262.4612
152,264.11075
153,265.48117
154,266.75848
155,267.95142
156,269.02533
157,269.86945
158,270.79575
159,271.7934
160,273.0392
161,274.58127
162,276.32907
163,278.09436
164,279.71594
165,281.483
166,283.33264
167,285.18994
168,286.89676
169,288.20425
170,288.79776
171,288.7776
172,288.3849
173,287.69348
174,286.81824
175,285.9499
176,285.43613
177,285.40552
178,285.64877
179,286.13388
180,286.62796
181,286.8948
182,287.0533
183,287.05002
184,286.84958
185,286.6106
186,286.59494
187,286.83615
188,287.4217
189,288.49216
190,290.10803
191,292.01498
192,294.00354
193,296.0188
194,298.0483
195,299.93137
196,301.65884
197,303.44913
198,305.26486
199,306.83475
200,308.07062
201,308.80444
202,309.1943
203,309.3516
204,309.56567
205,309.96747
206,310.45215
207,310.8582
208,311.5609
209,312.6528
210,314.07474
211,316.09302
212,318.42984
213,321.03864
214,323.8267
215,326.41373
216,328.7261
217,330.4694
218,331.50244
219,332.4611
220,333.37695
221,334.118
222,334.47623
223,334.647
224,334.41577
225,333.947
226,333.83197
227,334.0691
228,334.4725
229,334.7224
230,334.85526
231,334.7983
232,334.33823
233,333.0419
234,330.9223
235,328.50418
236,326.27563
237,323.98907
238,321.2326
239,318.4978
240,315.85278
241,313.73782
242,312.21298
243,311.44754
244,311.3656
245,312.10327
