,0
0,250.31595
1,249.78615
2,249.33043
3,249.46986
4,250.00444
5,250.72673
6,251.52045
7,252.7583
8,254.36115
9,256.0047
10,257.40814
11,258.66956
12,259.82288
13,260.8549
14,261.75922
15,262.57068
16,263.29532
17,264.10254
18,264.8946
19,265.75604
20,266.8869
21,268.7781
22,270.87827
23,273.018
24,275.07733
25,277.04617
26,279.05295
27,280.72238
28,281.8495
29,282.24084
30,282.155
31,281.61026
32,280.73056
33,279.65094
34,278.64996
35,277.53204
36,276.13785
37,274.53574
38,272.73868
39,271.05148
40,269.37454
41,267.779
42,266.4491
43,265.42166
44,264.7807
45,264.44275
46,264.44934
47,264.51953
48,264.73672
49,264.89148
50,264.96664
51,265.12982
52,265.37515
53,265.96652
54,266.80292
55,267.65778
56,268.34302
57,268.8484
58,269.08603
59,269.28317
60,269.75256
61,270.3983
62,271.31247
63,272.1844
64,273.13385
65,273.699
66,274.2862
67,274.42773
68,274.1752
69,273.76437
70,273.85303
71,274.5211
72,275.54282
73,276.37943
74,276.85287
75,277.14465
76,277.27036
77,277.32416
78,277.38513
79,277.35202
80,277.1701
81,276.91388
82,276.53613
83,276.05237
84,275.73737
85,275.53616
86,275.4781
87,275.50333
88,275.8315
89,276.39743
90,276.95526
91,277.4131
92,277.92825
93,278.41516
94,278.71466
95,278.84024
96,278.74667
97,278.51703
98,278.2426
99,277.95755
100,277.6488
101,277.3861
102,277.0769
103,276.59268
104,276.0234
105,275.40366
106,275.02673
107,274.84802
108,274.68448
109,274.56076
110,274.35974
111,274.15704
112,273.76413
113,273.38342
114,273.00793
115,272.36774
116,271.3984
117,270.24637
118,268.86017
119,267.5139
120,266.5255
121,266.0167
122,266.01538
123,266.41437
124,267.1624
125,268.22534
126,269.2013
127,269.862
128,270.08267
129,270.07278
130,270.04752
131,270.01526
132,269.97797
133,269.9832
134,269.98178
135,270.04907
136,270.2305
137,270.4487
138,270.68228
139,271.00705
140,271.3767
141,271.65024
142,271.63083
143,271.36154
144,271.07562
145,270.76306
146,270.19073
147,269.52322
148,269.01877
149,268.50827
150,267.9094
151,267.32672
152,266.96042
153,266.53415
154,266.3428
155,266.31882
156,266.64563
157,267.07132
158,267.6741
159,268.52606
160,269.64517
161,270.7659
162,272.12564
163,273.70117
164,275.28687
165,276.58334
166,277.51752
167,278.2665
168,279.06943
169,279.8221
170,280.67413
171,281.67993
172,283.0208
173,284.4881
174,286.14584
175,287.87357
176,289.55823
177,291.11475
178,292.4685
179,293.4464
180,294.23715
181,294.83832
182,295.18463
183,295.3471
184,295.3516
185,295.12344
186,294.85498
187,294.63245
188,294.47162
189,294.45258
190,295.105
191,296.1266
192,297.28198
193,298.36368
194,299.25058
195,300.08
196,300.82114
197,301.141
198,301.14386
199,300.83282
200,300.38257
201,300.13495
202,300.0529
203,299.9517
204,299.92105
205,300.07355
206,300.29584
207,300.75995
208,301.46558
209,302.30798
210,303.33096
211,304.34265
212,305.30096
213,306.18082
214,306.89133
215,307.55457
216,308.32083
217,309.06888
218,309.68243
219,310.22455
220,310.67065
221,311.16534
222,311.68558
223,312.06317
224,312.44745
225,312.66553
226,312.80978
227,313.06964
228,313.45218
229,313.9699
230,314.51956
231,315.4083
232,316.43124
233,317.39
234,318.41232
235,319.45483
236,320.41937
237,321.2289
238,321.77585
239,322.22357
240,322.6631
241,323.06113
242,323.30655
243,323.35205
244,323.1736
245,322.74246
246,322.2633
247,321.8965
248,321.7555
249,322.23404
250,323.22125
251,324.40512
252,325.78464
253,326.89127
254,327.6746
255,328.09274
256,328.21606
257,328.31604
258,328.5142
259,328.7968
260,329.08365
261,329.34583
262,329.5512
263,329.76974
264,330.00714
265,330.32852
266,330.5102
267,330.49792
268,330.3389
269,330.18732
270,330.1536
271,330.26398
272,330.54184
273,330.83395
274,331.30643
275,332.0879
276,333.0333
277,334.1058
278,335.06412
279,335.9063
280,336.77087
281,337.52
282,338.15668
283,338.70712
284,339.12698
285,339.43616
286,339.59787
287,339.62744
288,339.37155
289,338.7027
290,337.8029
291,336.4555
292,334.89413
293,333.43146
294,332.13547
295,330.70618
296,329.19257
297,327.6787
298,326.31647
299,324.7202
300,323.15515
301,321.7105
302,320.30417
303,318.99396
304,317.69424
305,316.404
306,315.189
307,314.1761
308,313.2603
309,312.69995
310,312.54294
311,312.69537
312,313.0772
313,313.17508
314,313.12903
315,312.67618
316,311.84415
317,310.89716
318,310.09012
319,309.5909
320,309.29404
321,309.2315
322,309.4424
323,309.9674
324,310.63168
325,311.2733
326,311.67102
327,311.8664
328,312.23596
329,312.90237
330,313.647
331,314.3486
332,314.93326
333,315.56708
334,316.11804
335,316.48755
336,316.80124
337,316.88034
338,316.8979
339,316.55548
340,315.61142
341,314.2601
342,312.60248
343,311.07657
344,309.8597
345,309.11423
346,308.7243
347,308.58926
348,308.747
349,309.08572
350,309.7212
351,310.38022
352,310.97986
353,311.30246
354,311.6146
355,311.83405
356,312.0902
357,312.63983
358,313.39313
359,314.17307
360,314.96268
361,315.53177
362,315.95853
363,316.22586
364,316.0677
365,315.8006
366,315.47632
367,315.03772
368,314.68842
