,0
0,239.63771
1,241.92676
2,244.71202
3,247.55641
4,250.46362
5,254.0155
6,257.61765
7,260.64737
8,262.74274
9,264.1384
10,265.1403
11,265.9696
12,266.7043
13,267.85654
14,268.7164
15,270.10004
16,271.41412
17,272.39905
18,273.31396
19,274.20892
20,274.89627
21,275.476
22,275.728
23,275.8794
24,275.82275
25,275.18726
26,274.76334
27,274.12613
28,273.59927
29,273.2572
30,272.826
31,272.22842
32,271.71005
33,271.39163
34,271.8089
35,272.57092
36,273.93042
37,276.02808
38,278.40067
39,280.70743
40,283.46652
41,286.30832
42,288.98648
43,291.43405
44,293.93295
45,296.42783
46,298.8398
47,301.0542
48,303.32684
49,305.89835
50,308.4889
51,310.74347
52,313.3469
53,315.8152
54,318.226
55,320.50278
56,322.49722
57,324.52188
58,326.5994
59,328.69046
60,330.3772
61,331.40274
62,331.66858
63,331.07233
64,329.75873
65,328.00308
66,326.00482
67,324.3643
68,323.08386
69,322.21744
70,321.3857
71,319.93552
72,318.62354
73,317.61438
74,316.9017
75,316.45337
76,316.09335
77,315.79785
78,314.8442
79,313.37195
80,309.9614
81,304.7452
82,298.10364
83,290.84503
84,283.20102
85,275.25723
86,268.21725
87,262.30447
88,257.51416
89,253.62929
90,250.177
91,246.39844
92,242.94427
93,239.96768
94,237.29869
95,234.79301
96,232.53181
97,230.40512
98,228.01144
99,225.15881
100,222.26437
101,219.17603
102,216.37813
103,213.73506
104,211.4304
105,209.1633
106,207.2286
