,0
0,140.79216
1,140.7847
2,140.76996
3,140.75581
4,140.76384
5,140.82225
6,140.8626
7,140.91478
8,140.97693
9,140.93571
10,140.83737
11,140.74422
12,140.65079
13,140.61795
14,140.66731
15,140.78528
16,140.93849
17,141.08661
18,141.29669
19,141.52765
20,141.74432
21,141.93063
22,142.0869
23,142.21626
24,142.31831
25,142.40799
26,142.48666
27,142.54895
28,142.61127
29,142.68555
30,142.79166
31,142.95337
32,143.15172
33,143.36548
34,143.56734
35,143.7606
36,143.99156
37,144.19926
38,144.44138
39,144.69855
40,144.95259
41,145.24838
42,145.57314
43,145.90274
44,146.23932
45,146.62604
46,147.02959
47,147.38866
48,147.77704
49,148.14781
50,148.40721
51,148.44814
52,148.44296
53,148.35353
54,148.05374
55,147.72208
56,147.41928
57,147.17587
58,147.01878
59,146.99219
60,147.0373
61,147.15302
62,147.2713
63,147.39178
64,147.58673
65,147.87401
66,148.17432
67,148.45482
68,148.6778
69,148.85677
70,149.0181
71,149.1511
72,149.27747
73,149.41452
74,149.6258
75,149.8911
76,150.10431
77,150.25026
78,150.35338
79,150.43738
80,150.4483
81,150.41447
82,150.32986
83,150.12268
84,149.74779
85,149.49103
86,149.19167
87,148.86792
88,148.60359
89,148.30118
90,148.0211
91,147.85745
92,147.78651
93,147.71014
94,147.64737
95,147.66727
96,147.7116
97,147.82729
98,147.97256
99,148.16797
100,148.455
101,148.80855
102,149.18285
103,149.51772
104,149.82106
105,150.01523
106,150.09546
107,150.15817
108,150.26239
109,150.31741
110,150.38353
111,150.4068
112,150.41664
113,150.45438
114,150.54759
115,150.66356
116,150.8281
117,151.05357
118,151.30626
119,151.57796
120,151.82791
121,152.04556
122,152.19887
123,152.30605
124,152.41914
125,152.53084
126,152.67662
127,152.83043
128,152.98508
129,153.1223
130,153.27292
131,153.4244
132,153.6358
133,153.91261
134,154.2424
135,154.60612
136,154.92464
137,155.22118
138,155.47166
139,155.68813
140,155.85753
141,156.00642
142,156.09332
143,156.15701
144,156.20361
145,156.27106
146,156.3279
147,156.35007
148,156.27867
149,156.16557
150,155.97778
151,155.78093
152,155.58731
153,155.45154
154,155.33173
155,155.25047
156,155.24684
157,155.32207
158,155.45854
159,155.62695
160,155.88356
161,156.23474
162,156.62111
163,157.0494
164,157.46213
165,157.82143
166,158.18994
167,158.60936
168,159.03967
169,159.56572
170,160.10104
171,160.55472
172,160.85295
173,161.05124
174,161.18047
175,161.30136
176,161.43076
177,161.56587
178,161.72551
179,161.91757
180,162.13148
181,162.3299
182,162.48204
183,162.63957
184,162.73325
185,162.7758
186,162.77936
187,162.7326
188,162.62282
189,162.5091
190,162.41623
191,162.37112
192,162.40265
193,162.50993
194,162.72467
195,163.00485
196,163.3308
197,163.654
198,163.85324
199,163.96106
200,163.98349
201,163.98468
202,164.03583
203,164.13918
204,164.31593
205,164.55365
206,164.78354
207,165.03177
208,165.23337
209,165.45406
210,165.70454
211,165.98048
212,166.25635
213,166.50488
214,166.73784
215,166.94984
216,167.18002
217,167.40045
218,167.60551
219,167.71289
220,167.72281
221,167.62154
222,167.49295
223,167.15135
224,166.65958
225,166.20573
226,165.73848
227,165.39294
228,165.14201
229,164.89328
230,164.65741
231,164.47133
232,164.27724
233,163.89008
234,163.57452
235,163.28528
236,162.92145
237,162.51187
238,162.1894
239,161.91551
240,161.69348
241,161.56128
242,161.50502
243,161.64453
244,161.91237
245,162.18434
246,162.35301
247,162.43958
248,162.39905
249,162.34628
250,162.32495
251,162.20673
252,161.92427
253,161.5818
254,161.21294
255,160.95558
256,160.81448
257,160.8942
258,161.09828
259,161.40118
260,161.79927
261,162.12817
262,162.41106
263,162.50458
264,162.54842
265,162.5937
266,162.65752
267,162.74583
268,162.7349
269,162.54591
270,162.2723
271,161.94394
272,161.51921
273,160.93332
274,160.11816
275,159.38718
276,158.77567
277,158.24852
278,157.84007
279,157.51634
280,157.1381
281,156.8821
282,156.73059
283,156.68214
284,156.75629
285,156.89073
286,157.03238
287,157.14536
288,157.33046
289,157.57405
290,157.87352
291,158.25323
292,158.60713
293,158.95955
294,159.28032
295,159.59753
296,159.83112
297,159.92307
298,160.02489
299,160.0702
300,160.01797
301,159.99733
302,160.054
303,160.12558
304,160.1779
305,160.22665
306,160.25731
307,160.32823
308,160.42409
309,160.53642
310,160.69968
311,160.89165
312,161.06155
313,161.28268
314,161.5853
315,161.95517
316,162.38298
317,162.8278
318,163.26076
319,163.68369
320,164.07387
321,164.40654
322,164.68684
323,164.87477
324,164.99371
325,165.13806
326,165.3251
327,165.56575
328,165.83864
329,166.16681
330,166.57672
331,167.03154
332,167.49443
333,168.03264
334,168.49983
335,168.91396
336,169.2831
337,169.56915
338,169.7902
339,169.99165
340,170.2097
341,170.43886
342,170.69322
343,170.93625
344,171.17825
345,171.4119
346,171.609
347,171.80199
348,171.99054
349,172.18951
350,172.39221
351,172.58049
352,172.78377
353,173.04366
354,173.34782
355,173.72632
356,174.12917
357,174.66765
358,175.30843
359,175.9908
360,176.70026
361,177.3105
362,177.76724
363,178.18417
364,178.53694
365,178.74496
366,178.84087
367,178.85602
368,178.86987
369,178.76256
370,178.61642
371,178.49477
372,178.49396
373,178.55438
374,178.593
375,178.63365
376,178.69966
377,178.73264
378,178.74083
379,178.72884
380,178.66324
381,178.58742
382,178.44179
383,178.12471
384,177.80501
385,177.59016
386,177.52795
387,177.69553
388,178.06015
389,178.53067
390,179.03229
391,179.55861
392,180.08415
393,180.59987
394,181.1632
395,181.75742
396,182.3908
397,183.02798
398,183.66808
399,184.14337
400,184.49416
401,184.75253
402,184.93193
403,185.10678
404,185.30522
405,185.54358
406,185.78923
407,186.02635
408,186.23141
409,186.4504
410,186.69041
411,186.95282
412,187.22096
413,187.42302
414,187.54158
415,187.60095
416,187.62424
417,187.68169
418,187.79248
419,187.9843
420,188.20992
421,188.48584
422,188.77657
423,189.04256
424,189.1463
425,189.18434
426,189.14076
427,188.88911
428,188.5775
429,188.2617
430,188.07643
431,187.95827
432,187.82767
433,187.78146
434,187.64923
435,187.4448
436,187.27719
437,187.22044
438,187.20972
439,187.27913
440,187.37015
441,187.32706
442,187.25153
443,187.16888
444,187.07983
445,187.07361
446,187.12111
447,187.14436
448,187.19812
449,187.35155
450,187.5407
451,187.6936
452,187.7648
453,187.7747
454,187.78731
455,187.79768
456,187.77429
457,187.76166
458,187.79578
459,187.94601
460,188.12198
461,188.29576
462,188.40233
463,188.5187
464,188.64607
465,188.71764
466,188.78696
467,188.7905
468,188.66672
469,188.50902
470,188.39746
471,188.29424
472,188.15295
473,188.0724
474,188.06947
475,188.14091
476,188.2574
477,188.46497
478,188.69199
479,188.89702
480,189.0022
481,189.06255
482,189.02403
483,188.94409
484,188.92862
485,188.98973
486,189.21584
487,189.50867
488,189.89055
489,190.2799
490,190.66655
491,191.0618
492,191.44472
493,191.79016
494,192.10121
495,192.4312
496,192.76897
497,193.13017
498,193.50241
499,193.89183
500,194.34018
501,194.82613
502,195.32037
503,195.77515
504,196.17773
505,196.53091
506,196.88881
507,197.26451
508,197.6487
509,197.99374
510,198.23737
511,198.39
512,198.49083
513,198.5563
514,198.65456
515,198.76323
516,198.86743
517,198.98253
518,199.15097
519,199.39374
520,199.71237
521,200.04488
522,200.36098
523,200.6943
524,201.0823
525,201.49515
526,201.90714
527,202.34254
528,202.78755
529,203.17761
530,203.51457
531,203.8945
532,204.23038
533,204.53215
534,204.75261
535,204.98575
536,205.28706
537,205.60373
538,205.97896
539,206.34602
540,206.7235
541,207.18935
542,207.73204
543,208.28809
544,208.80342
545,209.29956
546,209.7103
547,209.95459
548,210.1699
549,210.4451
550,210.9069
551,211.40793
552,212.04202
553,212.92964
554,213.95859
555,215.15791
556,216.43817
557,217.86996
558,219.22105
559,220.45894
560,221.53528
561,222.5047
562,223.42299
563,224.27518
564,224.95952
565,225.31416
566,225.17616
567,224.60222
568,223.81477
569,222.54478
570,221.09659
571,219.93709
572,218.7899
573,217.87724
574,217.04095
575,216.13461
576,214.85889
577,213.68478
578,212.416
579,210.6566
580,209.23508
581,207.39252
582,205.65204
583,203.87422
584,202.20834
585,200.5192
586,198.82872
587,197.60237
588,196.72192
589,196.4099
590,196.30936
591,196.6818
592,197.29683
593,197.86458
594,198.46141
595,199.0085
596,199.86043
597,200.85004
598,201.9426
599,203.06244
600,204.16467
601,205.46863
602,206.81445
603,208.29314
604,209.86
605,211.31335
606,212.39203
607,213.33272
608,214.08456
609,214.77286
610,215.382
611,215.77995
612,216.24992
613,216.82271
614,217.30298
615,217.82587
616,218.42516
617,219.11253
618,219.86917
619,220.67778
620,221.55457
621,222.31348
622,222.8646
623,223.26788
624,223.63693
625,224.02872
626,224.38576
627,224.76634
628,225.08278
629,225.34065
630,225.48761
631,225.55629
632,225.5567
633,225.56818
634,225.57874
635,225.65344
636,225.78807
637,225.8837
638,226.07668
639,226.37291
640,226.77504
641,227.45407
642,227.98132
643,228.40495
644,228.77742
645,229.24472
646,229.78873
647,230.4293
648,231.07785
649,231.86899
650,232.77687
651,233.60443
652,234.40955
653,235.04659
654,235.59769
655,236.22702
656,236.93231
657,237.71219
658,238.64995
659,239.59169
660,240.63043
661,241.74626
662,242.85121
663,243.70015
664,244.36136
665,244.85915
666,245.09976
667,245.11528
668,245.2406
669,245.37178
670,245.58958
671,245.5863
672,245.37393
673,245.10144
674,244.74998
675,244.4193
676,244.11778
677,243.88387
678,244.05986
679,244.43636
680,244.91685
681,245.5484
682,246.14468
683,246.5529
684,246.65582
685,246.70906
686,246.72441
687,246.72063
688,246.7479
689,246.83627
690,246.9123
691,247.12074
692,247.37468
693,247.666
694,248.05547
695,248.64244
696,249.5132
697,250.62291
698,251.75206
699,252.88876
700,254.1144
701,254.92944
702,255.30363
703,255.00368
704,254.48845
705,253.69173
706,252.68779
707,251.62727
708,250.68192
709,249.75354
710,248.80489
711,247.80113
712,246.86113
713,246.15732
714,245.44814
715,244.82886
716,244.44206
717,244.2892
718,244.23943
719,244.34894
720,244.63168
721,244.83354
722,245.08257
723,245.22453
724,245.3953
725,245.60922
726,246.00407
727,246.68695
728,247.59474
729,248.5605
730,249.48238
731,250.33003
732,250.92569
733,251.32343
734,251.57431
735,251.71866
736,251.82678
737,251.72568
738,251.5692
739,251.0704
740,250.39757
741,249.57088
742,248.66655
743,247.87369
744,247.50401
745,247.67244
746,248.23149
747,248.87306
748,249.30527
749,249.72076
750,250.08257
751,250.42134
752,250.75412
753,250.98741
754,251.035
755,250.9862
756,250.81572
757,250.5575
758,250.36397
759,250.23323
760,250.19362
761,250.18684
762,250.2646
763,250.37593
764,250.46907
765,250.54607
766,250.60622
767,250.70355
768,250.69934
769,250.5777
770,250.46008
771,250.38516
772,250.34364
773,250.48253
774,250.75511
775,251.0832
776,251.55267
777,252.14735
778,252.71716
779,253.28975
780,253.90858
781,254.51315
782,255.00655
783,255.41911
784,255.61902
785,255.66086
786,255.42455
787,255.17752
788,254.9891
789,254.7909
790,254.5146
791,254.23357
792,253.86469
793,253.43303
794,253.08997
795,253.06859
796,253.30612
797,253.74193
798,254.4026
799,255.2782
800,256.28455
801,257.51517
802,258.65173
803,259.88492
804,261.143
805,262.46634
806,263.75656
807,264.97217
808,266.09308
809,267.14044
810,268.06906
811,268.9248
812,269.71436
813,270.3903
814,270.97302
815,271.45792
816,271.77377
817,271.76675
818,271.4887
819,271.0732
820,270.42383
821,269.73172
822,269.18448
823,268.6831
824,268.04333
825,267.2965
826,266.64923
827,265.98486
828,265.5168
829,265.1777
830,265.07706
831,265.11307
832,265.20865
833,265.4218
834,265.69125
835,265.79834
836,265.76224
837,265.7936
838,265.9299
839,266.07474
840,266.12277
841,266.21652
842,266.31046
843,266.29803
844,266.32092
845,266.5696
846,267.1754
847,267.98038
848,268.94305
849,270.07217
850,271.3475
851,272.67392
852,274.0511
853,275.32468
854,276.57745
855,277.80685
856,278.9136
857,279.8713
858,280.75232
859,281.45264
860,282.1071
861,282.72528
862,283.3076
863,283.63138
864,283.6889
865,283.54843
866,283.2706
867,282.79562
868,282.16086
869,281.53708
870,281.03653
871,280.49838
872,279.9184
873,279.12238
874,278.31152
875,277.68332
876,277.13406
877,276.59494
878,276.08105
879,275.70297
880,275.4029
881,275.32828
882,275.45044
883,275.69644
884,275.9508
885,276.2032
886,276.376
887,276.47723
888,276.47803
889,276.55356
890,276.77713
891,277.0648
892,277.41074
893,277.88882
894,278.46362
895,279.1382
896,279.81207
897,280.4235
898,281.0637
899,281.66196
900,282.29416
901,283.01285
902,283.76047
903,284.5359
904,285.25287
905,286.00006
906,286.82104
907,287.64993
908,288.4675
909,289.41486
910,290.42538
911,291.49957
912,292.50592
913,293.43042
914,294.2429
915,295.0451
916,295.8588
917,296.60916
918,297.27365
919,297.7466
920,298.12436
921,298.48615
922,298.9606
923,299.60352
924,300.3268
925,301.0027
926,301.6013
927,302.12738
928,302.53796
929,302.84595
930,303.13513
931,303.38937
932,303.6919
933,304.0216
934,304.32516
935,304.54315
936,304.70267
937,304.89587
938,305.1956
939,305.61182
940,306.0527
941,306.4225
942,306.88678
943,307.6181
944,308.52722
945,309.46298
946,310.353
947,311.09033
948,311.69992
949,312.3027
950,312.8394
951,313.30328
952,313.68024
953,313.9806
954,314.19095
955,314.33047
956,314.3368
957,314.20367
958,314.01328
959,313.8731
960,313.91898
961,314.115
962,314.26147
963,314.20172
964,314.0015
965,313.8177
966,313.69043
967,313.60538
968,313.41217
969,312.8491
970,312.04236
971,311.04825
972,310.16302
973,309.2466
974,308.49103
975,308.0131
976,307.80453
977,307.79245
978,307.89563
979,308.03128
980,308.27075
981,308.75308
982,309.4347
983,310.30835
984,311.3062
985,312.3229
986,313.39417
987,314.41956
988,315.33594
989,316.18808
990,317.3148
991,318.64584
992,320.25406
993,321.93942
994,323.69443
995,325.4506
996,327.19485
997,328.85013
998,330.3951
999,331.7733
1000,332.84207
1001,333.6837
1002,334.45248
1003,335.13638
1004,335.8234
1005,336.48486
1006,337.15656
1007,337.86078
1008,338.47797
1009,338.94537
1010,339.2911
1011,339.32828
1012,339.31207
1013,339.12564
1014,338.80405
1015,338.39026
1016,337.76382
1017,337.08688
1018,336.6431
1019,336.40448
1020,336.26865
1021,336.44797
1022,336.77682
1023,336.89578
1024,336.99716
1025,336.84442
1026,336.46875
1027,335.8534
1028,335.28503
1029,334.9503
1030,334.84622
1031,335.11038
1032,335.60254
1033,336.24066
1034,336.88074
1035,337.40607
1036,337.77884
1037,337.8772
1038,337.4399
1039,336.55707
1040,335.40814
1041,334.1382
1042,332.86508
1043,331.7383
1044,330.41556
1045,329.12457
1046,327.72473
1047,326.3089
1048,324.899
1049,323.3994
1050,321.8974
1051,320.24545
1052,318.76416
1053,317.56967
1054,316.85898
1055,316.6035
1056,316.61374
1057,316.92084
1058,317.0949
1059,317.2594
1060,317.28375
1061,317.29318
1062,317.4799
1063,317.55902
1064,317.33954
1065,316.90463
1066,316.48965
1067,316.0959
1068,315.49484
1069,314.67993
1070,313.7414
1071,312.55493
1072,311.6255
1073,311.02505
1074,310.7244
1075,310.5401
1076,310.57397
1077,310.64905
1078,310.56918
1079,310.0678
1080,309.1845
1081,308.41895
1082,307.7211
1083,306.9427
1084,306.02936
1085,305.35068
1086,305.08936
1087,305.16602
1088,305.61414
1089,306.2717
1090,307.16998
1091,308.0769
1092,309.05997
1093,310.0494
1094,311.1873
1095,312.52078
1096,313.8989
1097,315.09293
1098,316.12323
1099,317.14844
1100,318.03122
1101,318.46365
1102,318.59174
1103,318.3949
1104,317.65918
1105,316.47256
1106,315.17673
1107,313.66824
1108,312.0833
1109,310.65186
1110,309.43146
1111,308.25934
1112,306.96838
1113,305.81824
1114,304.53717
1115,303.55588
1116,303.03165
1117,302.52155
1118,302.20325
1119,301.9688
1120,302.01935
1121,301.93002
1122,301.641
1123,300.93484
1124,300.08386
1125,298.9315
1126,297.45447
1127,295.9706
1128,294.57312
1129,293.44946
1130,292.2144
1131,290.89703
1132,289.55872
1133,288.4917
1134,287.64612
1135,287.06824
1136,286.79984
1137,286.96896
1138,287.40555
1139,288.0143
1140,288.77222
1141,289.4712
1142,290.04904
1143,290.61914
1144,291.10858
1145,291.35785
1146,291.08377
1147,290.12775
1148,288.78345
1149,287.4481
1150,286.00424
1151,284.61395
1152,283.5049
1153,282.63492
1154,282.12994
1155,282.1624
1156,282.4994
1157,282.77878
1158,283.08902
1159,283.31302
1160,283.53598
1161,283.84735
1162,284.30936
1163,284.92502
1164,285.6031
1165,286.20227
1166,286.40353
1167,286.26865
1168,285.94568
1169,285.5888
1170,285.1631
1171,284.85684
1172,284.7389
1173,284.8363
1174,284.95547
1175,285.02853
1176,284.8629
1177,285.0042
1178,285.6082
1179,286.64435
1180,287.86356
1181,289.05515
1182,290.37958
1183,291.7861
1184,293.1682
1185,294.39844
1186,295.5196
1187,296.714
