,0
0,129.32118
1,131.39091
2,133.57195
3,135.65337
4,137.65422
5,139.70427
6,141.7058
7,143.85152
8,146.23694
9,148.77232
10,151.05351
11,153.19356
12,154.83553
13,156.1513
14,157.45433
15,158.91414
16,160.86832
17,162.87387
18,165.17145
19,167.66922
20,170.2596
21,172.84795
22,175.47426
23,178.29253
24,181.35132
25,184.87538
26,188.32619
27,191.4265
28,194.84958
29,198.52344
30,202.88121
31,207.61334
32,213.05632
33,218.31506
34,222.94221
35,227.28204
36,231.52538
37,235.84059
38,240.06102
39,244.14626
40,248.47433
41,252.74815
42,257.43384
43,262.66275
44,268.56268
45,274.1243
46,280.57837
47,287.44122
48,294.42816
49,300.5036
50,305.28455
51,309.20563
52,311.5534
53,312.49628
54,312.0154
55,311.2334
