,0
0,135.78914
1,136.54703
2,137.20961
3,137.85236
4,138.4863
5,139.09836
6,139.71918
7,140.35674
8,141.05112
9,141.83607
10,142.72131
11,143.32886
12,143.9661
13,144.57637
14,145.18193
15,145.81595
16,146.43878
17,146.88028
18,147.2226
19,147.52232
20,147.82434
21,148.20491
22,148.56688
23,148.8932
24,149.31134
25,149.72342
26,150.18484
27,150.68262
28,151.25522
29,151.87762
30,152.5006
31,153.01329
32,153.46286
33,154.00139
34,154.59422
35,155.37784
36,156.20091
37,157.08548
38,157.91057
39,158.65465
40,159.45897
41,160.17175
42,160.92807
43,161.71265
44,162.51508
45,163.24498
46,163.66273
47,163.92348
48,164.06276
49,164.03503
50,164.0868
51,164.05327
52,163.81795
53,163.68388
54,163.60364
55,163.5732
56,163.31325
57,162.88129
58,162.21939
59,161.62868
60,161.20685
61,160.92818
62,160.70149
63,160.54475
64,160.49722
65,160.6128
66,160.92712
67,161.31416
68,161.87224
69,162.71843
70,163.627
71,164.61601
72,165.6538
73,166.78404
74,168.12782
75,169.47556
76,170.74214
77,172.0118
78,173.14572
79,174.1207
80,175.01485
81,175.97012
82,177.0909
83,178.19788
84,179.35529
85,180.53627
86,181.62207
87,182.71793
88,183.71274
89,184.62152
90,185.26534
91,185.82619
92,186.32652
93,186.83107
94,187.24097
95,187.68214
96,188.08423
97,188.33504
98,188.55823
99,188.77805
100,188.99733
101,189.32083
102,189.73889
103,190.33105
104,191.0718
105,191.97893
106,192.88979
107,193.8673
108,194.93466
109,196.11946
110,197.40413
111,198.75502
112,200.22873
113,201.75055
114,203.43703
115,205.52336
116,207.82095
117,210.19022
118,211.67767
119,212.69807
120,212.50061
121,211.5384
122,210.53055
123,209.5421
124,208.93489
125,209.02142
126,209.42958
127,210.2792
128,211.54694
129,212.9566
130,214.48569
131,215.96962
132,217.40096
133,218.84232
134,220.55157
135,222.5196
136,224.7758
137,227.3956
138,229.84892
139,232.01776
140,233.9358
141,235.98575
142,237.83447
143,239.63391
144,241.70346
145,243.61774
146,244.96404
147,245.76218
148,246.15434
149,246.53891
150,246.87166
151,247.43352
152,248.00829
153,248.25104
154,248.79713
155,249.33182
156,249.72949
157,250.05336
158,250.32724
159,250.4443
160,250.71132
161,251.19153
162,251.79704
163,252.33797
164,252.64214
165,253.11842
166,254.13829
167,255.61205
168,257.41464
169,259.34744
170,260.8423
171,261.86737
172,262.8276
173,263.5378
174,264.08365
175,264.7973
176,265.9435
177,267.5486
178,269.3464
179,271.05585
180,272.53598
181,273.591
182,274.39352
183,275.08115
184,275.5663
185,276.22318
186,277.10666
187,278.28653
188,279.77472
189,281.58734
190,283.65823
191,285.96674
192,288.3568
193,290.78156
194,293.1378
195,295.5382
196,297.94586
197,300.31702
198,302.45853
199,304.5603
200,306.41068
201,307.512
202,308.3669
203,309.27118
204,310.41528
205,312.06833
206,314.35834
207,316.90485
208,319.73392
209,322.56036
210,325.0252
211,327.2047
212,328.8884
213,330.39722
214,331.87277
215,332.6127
216,332.51315
217,331.7394
218,330.48914
219,329.0091
220,327.47952
221,325.67883
222,323.8495
223,322.12973
224,320.28363
225,318.66812
226,317.54803
227,316.9523
228,316.56097
229,315.71503
230,314.55823
231,313.47946
232,312.18356
233,310.15057
234,307.5786
235,305.10135
236,303.07565
237,301.19662
238,298.91235
239,296.7916
240,294.84702
241,293.4312
242,292.05646
243,291.03836
244,290.66013
245,290.96555
